Question,Answer_True,Yes_No_True,Document_True
Is Amazon EBS encryption available on M3 instances? ,Amazon EBS encryption is available on all current generation instance types and the following previous generation instance types: C3 cr1.8xlarge G2 I2 M3 and R3,Yes,amazon-ec2-user-guide/EBSEncryption.txt
Does AMI supports tagging on creation?,AMI support tagging on creation,No,amazon-ec2-user-guide/Using_Tags.txt
Does AMI supports tags?,AMI supports tags,Yes,amazon-ec2-user-guide/Using_Tags.txt
Can I use my own keys in AWS KMS to encrypt data in Amazon Forecast?,Use one of your own AWS Key Management Service (AWS KMS) symmetric keys to encrypt Forecast data in your Amazon S3 buckets,Yes,amazon-forecast-developer-guide/data-protection.txt
Is Alias an Amazon Forecast reserved field name?,Amazon Forecast reserves the following names Alias,Yes,amazon-forecast-developer-guide/reserved-field-names.txt
Is Admin an Amazon Forecast reserved field name?,Amazon Forecast reserves the following names Admin,Yes,amazon-forecast-developer-guide/reserved-field-names.txt
Is it recommended that I enable Offline mode in Microsoft SQL Server?,We recommend that you do not enable the following modes because they turn off transaction logging which is required for Multi-AZ: offline mode,No,amazon-rds-user-guide/CHAP_BestPractices.txt
Does Amazon RDS Magnetic Storage support elastic volumes?,Magnetic storage Doesn't support elastic volumes,No,amazon-rds-user-guide/CHAP_Storage.txt
Can I stop a DB instance that has a read replica?,You can't stop a DB instance that has a read replica,No,amazon-rds-user-guide/USER_StopInstance.txt
Can you delete an option group that is associated with a stopped DB instance?,You can't delete an option group that is associated with a stopped DB instance,No,amazon-rds-user-guide/USER_StopInstance.txt
What is Amazon EBS Provisioned IOPS SSD volumes maximum IOPS?,"64,000",None, amazon-ec2-user-guide/AmazonEBS.txt
What is the size of a null attribute in DynamoDB?,length of attribute name + 1 byte,None,amazon-dynamodb-developer-guide/CapacityUnitCalculations.txt
How to download an entire amazon S3 bucket? ,aws s3 sync,None,amazon-ec2-user-guide/AmazonS3.txt
What is the instance store volumes for c5d.12xlarge? ,2 x 900 GB,None,amazon-ec2-user-guide/InstanceStorage.txt
What is the instance store type for d2.xlarge? ,HDD,None,amazon-ec2-user-guide/InstanceStorage.txt
